fips	june2011	dec2012
72109	0.5910	0.5810
72111	0.7156	0.5005
72113	0.8419	0.9157
72115	0.9040	0.9312
72117	0.9692	0.8186
72119	0.6382	0.1783
72121	0.4952	0.6749
72123	0.5485	0.6730
72125	0.9032	0.7097
72127	0.9450	0.9420
72129	0.6831	0.3804
72131	0.7145	0.6602
72133	0.7557	0.6751
72135	0.9275	0.8198
72137	0.9215	0.9826
72139	0.9613	0.8157
72141	0.4418	0.8208
72143	0.8786	0.8892
72145	0.7954	0.6943
72147	0.3105	0.2413
72149	0.7585	0.2508
72151	0.6517	0.2713
72153	0.3070	0.3710
